order_id,customer_id,order_date,total_amount
130,430,2025-02-24,171.8
131,348,2023-01-28,967.32
132,4190,2023-01-16,167.2
133,1049,2024-10-18,874.98
134,3106,2024-10-31,398.14
135,2828,2025-07-27,688.09
136,4167,2025-07-09,106.94
137,3160,2024-08-04,132.01
138,4142,2024-01-15,536.58
139,3485,2025-01-30,471.74
140,1904,2023-02-19,179.78
141,2284,2023-02-18,416.09
142,751,2023-11-14,680.53
143,3546,2023-12-27,135.4
144,1769,2024-10-15,883.34
145,897,2023-01-30,878.09
146,1157,2023-05-15,107.45
147,1952,2023-10-07,650.13
148,1501,2022-10-26,256.05
149,2660,2023-01-19,184.99
150,4946,2022-09-26,46.53
151,171,2024-12-24,683.18
152,2766,2023-03-22,995.29
153,3449,2023-04-20,112.83
154,1862,2025-04-04,22.48
155,5,2025-04-29,281.43
156,4150,2023-05-30,114.05
157,1228,2023-08-08,556.61
158,3234,2023-06-18,711.68
159,3456,2023-12-10,68.69
160,3492,2022-11-09,505.6
161,666,2023-01-10,887.55
162,3558,2023-01-29,958.59
163,2286,2025-04-18,880.88
164,866,2023-05-18,143.0
165,4443,2023-11-30,520.16
166,2986,2024-03-03,345.0
167,496,2024-09-22,120.52
168,738,2023-01-19,653.06
169,2746,2025-01-13,820.73
170,4721,2023-03-06,752.6
171,2080,2024-01-20,682.53
172,615,2024-04-18,297.07
173,32,2025-07-25,415.74
174,1371,2025-04-06,986.5
175,4548,2023-06-04,607.57
176,1227,2025-08-17,555.94
177,4605,2023-04-18,437.44
178,3994,2024-07-29,803.76
179,2195,2025-06-12,111.81
180,3290,2022-12-30,440.59
181,673,2023-04-19,630.24
182,2622,2024-03-09,605.26
183,3341,2023-05-30,411.9
184,4025,2025-08-16,707.9
185,4918,2023-12-11,767.73
186,148,2025-08-09,747.9
187,1243,2023-04-25,753.25
188,4579,2025-02-18,746.43
189,3021,2024-12-15,61.99
190,2336,2024-02-14,918.93
191,4581,2024-04-10,226.13
192,955,2025-01-12,746.11
193,4725,2024-01-22,418.48
194,3380,2024-07-20,150.92
195,3822,2024-09-25,571.0
196,4331,2024-01-19,490.89
197,574,2025-02-09,979.34
198,2842,2024-06-22,149.88
199,2619,2025-06-15,865.51
200,1678,2024-05-03,122.38
201,1851,2024-11-30,932.34
202,126,2024-08-24,10.27
203,2760,2024-08-29,911.6
204,4784,2023-07-28,301.78
205,1510,2023-01-23,276.97
206,565,2023-04-02,487.08
207,3247,2023-05-07,137.35
208,366,2024-02-03,428.98
209,3508,2024-01-24,584.23
210,2905,2022-12-29,165.43
211,2313,2023-01-22,443.42
212,4157,2022-11-01,602.28
213,4608,2024-08-12,854.23
214,1196,2023-07-11,323.08
215,3797,2023-08-16,593.68
216,2260,2024-10-29,130.3
217,1222,2023-09-21,689.9
218,548,2022-09-21,521.44
219,1822,2024-04-07,15.01
220,4605,2024-07-20,864.76
221,2593,2023-04-09,305.15
222,427,2024-03-11,302.97
223,157,2023-08-10,30.79
224,3763,2023-09-09,741.89
225,4996,2024-07-29,395.98
226,1801,2024-11-21,222.72
227,1993,2024-06-21,178.77
228,2328,2024-03-18,537.08
229,4576,2025-05-24,569.77
230,1693,2023-06-28,796.31
231,2013,2024-01-17,342.03
232,2194,2024-07-02,988.68
233,4081,2025-01-01,710.25
234,429,2022-11-23,970.69
235,2238,2023-06-26,505.68
236,4425,2023-07-30,314.46
237,918,2022-10-25,460.12
238,1733,2025-08-17,638.85
239,102,2024-04-05,475.63
240,706,2024-06-22,711.61
241,3076,2023-12-01,832.43
242,1050,2023-03-25,875.03
243,2710,2024-04-12,626.49
244,3855,2023-01-16,508.39
245,3590,2024-11-05,244.71
246,1575,2023-10-29,461.36
247,999,2023-06-08,182.67
248,2148,2024-03-01,731.41
249,3754,2023-08-28,716.56
250,2971,2023-06-01,718.18
251,4322,2022-12-12,394.64
252,2379,2023-08-24,224.95
253,663,2023-10-03,76.56
254,316,2023-08-31,319.83
255,2235,2024-05-03,275.9
256,2434,2023-04-04,822.65
257,642,2023-05-22,916.83
258,4704,2024-01-28,702.49
259,2255,2022-10-16,701.09
260,913,2023-07-30,525.93
261,4491,2025-05-05,852.43
262,3272,2025-05-05,869.09
263,4867,2023-07-31,217.34
264,3701,2024-12-13,590.01
265,2778,2023-02-07,246.91
266,2529,2024-03-15,319.24
267,3865,2024-12-01,137.58
268,2798,2023-07-21,612.8
269,950,2023-10-02,33.46
270,1923,2024-06-04,393.94
271,4527,2025-08-01,912.57
272,2038,2023-12-06,147.49
273,3571,2025-01-26,281.56
274,646,2025-03-29,570.92
275,4938,2023-04-25,103.9
276,4572,2025-02-23,868.83
277,4991,2024-12-18,327.7
278,811,2023-07-31,690.81
279,752,2024-05-29,772.84
280,274,2023-04-22,232.18
281,3950,2025-08-21,479.29
282,4633,2025-06-05,44.4
283,1331,2023-03-01,172.43
284,3257,2023-11-20,996.77
285,623,2025-05-17,970.64
286,1721,2025-06-02,893.97
287,503,2022-10-02,632.76
288,4222,2025-06-25,363.37
289,1719,2024-09-04,308.2
290,2216,2024-10-02,380.08
291,3845,2025-02-03,885.25
292,351,2024-07-29,506.71
293,3520,2025-01-29,534.81
294,301,2023-12-22,49.44
295,1646,2025-05-01,684.66
296,3797,2024-03-24,886.1
297,3501,2025-04-19,314.85
298,2160,2025-08-10,993.54
299,2290,2023-11-06,744.21
300,3866,2024-12-06,676.41
301,4551,2022-10-07,619.94
302,313,2024-11-24,175.94
303,4119,2024-03-29,979.76
304,107,2022-12-22,264.08
305,2552,2022-09-29,870.19
306,2904,2023-10-29,241.58
307,3180,2022-11-08,696.4
308,1339,2024-05-08,735.53
309,410,2025-03-19,471.79
310,4329,2023-06-22,819.86
311,1665,2022-09-28,22.65
312,444,2023-06-07,385.41
313,2073,2025-06-11,971.4
314,3641,2025-06-23,703.32
315,260,2024-11-24,998.45
316,2985,2024-06-07,566.46
317,2789,2023-05-15,165.32
318,1861,2024-04-11,635.42
319,1934,2023-01-19,259.39
320,214,2024-08-12,858.32
321,436,2024-07-20,337.86
322,1969,2023-04-10,94.96
323,2501,2024-06-11,153.67
324,284,2025-08-28,254.46
325,4982,2023-11-14,225.15
326,824,2025-05-28,748.74
327,1731,2025-08-06,676.74
328,4196,2023-10-13,944.0
329,3644,2025-07-14,717.87
330,3886,2024-01-20,24.18
331,4370,2025-02-04,893.03
332,735,2023-07-16,206.72
333,2315,2023-03-28,455.34
334,4066,2024-07-07,824.85
335,2603,2023-02-26,16.08
336,4390,2022-11-27,149.69
337,332,2024-09-04,658.5
338,3731,2024-08-08,324.93
339,4426,2022-10-11,543.45
340,3119,2024-11-02,86.3
341,1388,2023-01-21,241.78
342,4313,2023-02-13,40.72
343,4919,2023-03-05,952.61
344,2994,2023-06-19,488.23
345,4664,2025-04-26,615.82
346,4033,2023-03-05,656.13
347,3306,2024-08-30,177.7
348,4597,2024-07-31,42.43
349,4031,2022-12-31,677.55
350,689,2024-11-28,489.33
351,862,2024-11-14,78.32
352,4989,2025-01-03,103.89
353,1974,2023-11-27,563.28
354,3573,2025-05-29,110.76
355,3735,2022-12-10,194.19
356,2154,2024-03-27,843.55
357,3918,2023-09-12,471.0
358,619,2023-09-06,931.95
359,334,2024-08-02,754.34
360,2726,2025-05-29,859.98
361,3600,2024-01-29,734.44
362,2577,2023-08-20,249.15
363,2508,2024-06-02,860.27
364,210,2025-04-08,456.14
365,3962,2023-02-15,76.61
366,4420,2024-06-06,827.94
367,4480,2024-09-21,365.15
368,2576,2023-12-01,696.3
369,1189,2025-05-09,419.44
370,4334,2025-04-12,575.57
371,598,2023-04-12,567.46
372,4358,2023-11-30,135.18
373,405,2023-02-17,820.23
374,2085,2023-01-06,615.53
375,626,2024-01-10,872.51
376,2510,2023-05-16,153.46
377,4152,2025-02-06,116.37
378,4328,2024-09-05,823.22
379,139,2023-02-19,79.28
380,497,2024-12-10,829.11
381,1231,2022-11-27,940.27
382,3148,2024-06-05,876.4
383,1638,2024-04-04,935.1
384,2866,2023-08-25,878.85
385,4277,2025-09-10,629.92
386,3954,2025-08-01,365.35
387,4511,2022-10-03,661.93
388,4199,2023-06-21,792.18
389,1876,2024-06-18,173.34
390,2234,2024-03-17,204.48
391,3145,2024-02-21,734.41
392,6,2024-06-12,314.67
393,4779,2023-03-24,110.75
394,2230,2024-07-22,929.31
395,4652,2025-06-06,513.29
396,840,2025-02-04,828.49
397,3032,2024-06-04,187.81
398,1892,2024-03-07,65.63
399,4506,2024-06-27,998.48
400,67,2024-08-09,153.13
401,1417,2024-08-11,269.84
402,1708,2023-05-06,703.66
403,295,2024-02-22,536.64
404,2089,2025-09-03,873.18
405,30,2024-06-25,396.72
406,1445,2023-07-24,888.93
407,912,2023-06-15,358.87
408,3961,2023-12-31,948.14
409,3053,2025-02-19,973.81
410,2219,2025-05-11,730.09
411,3580,2025-05-30,329.39
412,467,2024-09-10,102.52
413,3298,2023-04-27,364.5
414,63,2024-06-25,453.64
415,2363,2023-05-30,446.53
416,4105,2024-10-23,907.01
417,4348,2023-05-05,987.14
418,3811,2023-12-16,14.03
419,1810,2023-05-24,384.39
420,602,2024-01-03,467.93
421,4694,2023-05-16,895.41
422,984,2022-12-23,542.95
423,3201,2025-02-27,923.9
424,4605,2025-02-14,250.06
425,2198,2025-01-29,165.28
426,2886,2024-06-17,292.4
427,3772,2023-10-28,764.31
428,1824,2022-10-13,782.32
429,327,2024-08-28,294.43
430,3063,2025-07-20,131.41
431,3331,2025-05-11,609.66
432,2135,2024-02-03,986.31
433,3012,2025-01-13,777.15
434,1152,2025-05-27,394.88
435,2069,2023-07-25,920.07
436,1943,2024-04-10,761.1
437,2324,2023-03-26,383.62
438,2116,2024-03-11,893.96
439,4693,2025-06-15,860.43
440,3521,2022-10-10,257.86
441,2183,2025-02-18,499.08
442,2021,2024-03-16,344.07
443,292,2024-07-24,169.26
444,1723,2024-01-04,219.04
445,3380,2023-09-13,28.7
446,805,2023-06-16,278.81
447,555,2022-11-11,239.74
448,1011,2023-04-21,649.41
449,4968,2022-09-24,202.06
450,3099,2024-01-15,82.07
451,4477,2023-07-21,485.3
452,4294,2024-04-05,502.92
453,3385,2025-01-14,310.86
454,579,2025-06-19,910.72
455,262,2024-04-23,251.53
456,91,2025-01-17,924.58
457,4443,2025-01-08,154.05
458,4000,2023-04-02,290.06
459,34,2023-10-16,629.13
460,4740,2024-01-14,213.17
461,1510,2023-08-14,753.3
462,143,2023-10-27,315.07
463,71,2023-10-03,388.76
464,517,2023-01-03,625.83
465,125,2023-08-14,672.43
466,3578,2025-09-02,431.4
467,3295,2025-05-29,83.82
468,4941,2022-11-03,980.72
469,1562,2023-11-29,892.78
470,1175,2025-02-22,239.97
471,2670,2024-08-12,322.62
472,52,2024-12-09,944.58
473,4535,2022-09-13,188.92
474,2138,2023-05-09,868.02
475,2220,2024-04-14,769.14
476,952,2025-02-16,946.76
477,2413,2023-04-21,974.4
478,2168,2023-09-13,492.39
479,3158,2025-02-04,653.38
480,3832,2024-09-26,306.34
481,390,2024-05-09,531.55
482,1567,2024-04-22,714.97
483,2207,2023-01-14,27.69
484,2830,2024-09-27,689.1
485,4066,2024-01-24,417.17
486,1246,2024-05-09,847.18
487,970,2023-06-16,339.91
488,1408,2024-07-29,652.82
489,3164,2023-09-17,158.74
490,685,2025-07-05,468.42
491,1775,2024-01-09,841.99
492,4287,2023-07-06,703.52
493,3740,2025-01-14,610.12
494,1601,2024-05-07,426.05
495,1637,2024-04-20,200.52
496,428,2023-05-28,727.06
497,1489,2025-08-03,59.38
498,3630,2025-07-22,195.29
499,610,2024-07-22,560.37
500,1451,2022-12-28,194.48
501,4142,2024-01-31,891.04
502,1028,2023-05-22,426.01
503,4383,2024-02-07,870.72
504,3898,2024-07-30,23.23
505,4155,2023-09-12,224.8
506,69,2023-05-06,354.31
507,1879,2025-02-07,96.59
508,246,2024-04-28,237.1
509,4160,2025-03-15,461.94
510,896,2023-12-27,628.12
511,53,2025-07-16,681.63
512,2846,2023-12-05,889.4
513,4704,2025-01-28,60.26
514,2550,2024-07-24,65.43
515,3971,2024-12-02,729.57
516,1728,2024-04-11,967.76
517,1356,2024-06-10,723.16
518,3208,2023-03-31,24.17
519,4957,2023-07-30,528.72
520,505,2024-03-09,836.05
521,1758,2024-07-10,364.16
522,1397,2024-02-27,193.65
523,1866,2023-04-23,519.0
524,3611,2022-11-10,163.35
525,652,2024-12-28,917.2
526,2168,2024-12-03,284.06
527,3229,2023-12-07,325.71
528,1645,2024-05-29,528.01
529,1289,2023-06-15,431.19
530,3657,2024-06-02,18.02
531,4352,2023-05-22,84.28
532,4449,2024-08-02,284.23
533,4194,2025-01-31,468.83
534,2351,2024-07-14,756.95
535,1078,2024-07-22,992.02
536,2457,2024-04-28,81.89
537,2408,2024-12-21,643.09
538,1371,2024-10-03,29.25
539,3198,2023-01-04,955.08
540,1291,2025-03-01,525.32
541,2009,2023-09-23,719.18
542,3719,2025-02-16,434.81
543,3955,2023-04-26,850.38
544,2550,2025-09-01,325.47
545,2570,2024-04-15,74.44
546,869,2023-05-27,453.0
547,2966,2024-09-20,693.04
548,2511,2025-01-30,480.54
549,3911,2025-04-22,945.84
550,3538,2023-12-08,847.97
551,996,2024-04-20,814.75
552,2736,2024-09-08,120.73
553,4793,2023-09-12,821.5
554,4281,2024-09-15,264.68
555,1508,2024-09-04,314.39
556,2353,2023-12-12,708.58
557,1944,2022-10-27,855.33
558,613,2022-11-17,259.42
559,3154,2024-01-31,637.91
560,2504,2025-07-12,467.93
561,3760,2023-01-16,292.48
562,77,2022-10-02,532.37
563,963,2024-04-09,895.23
564,1410,2023-10-13,52.84
565,3933,2023-06-25,926.11
566,2131,2023-11-15,691.14
567,3208,2022-10-23,621.94
568,3019,2024-02-26,306.37
569,4422,2024-12-07,491.88
570,906,2024-01-13,110.48
571,347,2023-04-20,89.81
572,2134,2024-11-17,555.48
573,3785,2023-09-13,196.32
574,3638,2022-10-14,87.19
575,4308,2023-09-19,446.79
576,2114,2022-10-06,423.58
577,1451,2025-05-31,543.74
578,1757,2025-06-19,956.83
579,334,2024-06-18,230.87
580,4629,2024-06-09,98.22
581,239,2023-08-25,333.85
582,1216,2023-09-19,782.63
583,3978,2025-09-02,507.48
584,2225,2023-04-06,333.48
585,3738,2023-09-30,843.01
586,2049,2024-03-03,627.66
587,4801,2023-05-05,183.22
588,4820,2023-11-13,69.02
589,1540,2025-05-16,288.84
590,3730,2024-04-05,518.67
591,4549,2025-02-03,767.33
592,4864,2025-04-23,203.04
593,3070,2025-04-18,741.37
594,4825,2024-10-26,866.23
595,1546,2023-01-04,77.47
596,1061,2024-12-18,49.35
597,3455,2024-09-29,963.97
598,4135,2024-02-15,825.82
599,185,2023-12-05,768.18
600,4850,2023-02-20,600.33
601,4476,2023-05-23,343.76
602,1997,2025-08-18,241.79
603,666,2025-03-18,848.83
604,4787,2024-07-12,831.09
605,2841,2024-07-17,451.26
606,1991,2023-03-08,248.79
607,4747,2022-12-28,475.04
608,3152,2025-06-10,104.66
609,3073,2022-11-30,407.9
610,2417,2023-06-13,402.18
611,3686,2023-03-15,671.99
612,4474,2023-03-30,709.04
613,2397,2024-05-17,278.28
614,1948,2025-01-28,42.58
615,2208,2025-01-25,499.72
616,453,2025-08-07,675.24
617,1382,2022-10-30,460.17
618,2460,2024-08-12,511.73
619,2778,2023-07-09,764.13
620,4083,2023-08-11,416.66
621,4310,2023-04-24,28.1
622,3880,2024-09-21,179.9
623,4228,2024-06-14,256.6
624,1462,2024-08-15,114.87
625,2630,2024-11-27,859.17
626,1758,2024-06-18,80.79
627,3907,2024-06-13,362.06
628,3487,2024-02-01,756.62
629,3320,2023-03-29,538.87
630,3843,2025-08-28,792.24
631,2155,2023-03-30,320.19
632,2519,2024-12-06,920.94
633,885,2022-10-19,740.1
634,837,2024-10-15,864.9
635,1843,2024-09-29,179.91
636,4244,2024-09-12,724.02
637,1156,2025-05-26,841.98
638,440,2025-08-05,313.76
639,674,2025-08-17,694.48
640,1465,2022-12-24,488.37
641,2451,2024-01-23,729.77
642,3411,2023-07-12,319.15
643,3216,2024-06-19,585.98
644,1818,2022-11-05,408.04
645,472,2023-11-09,571.82
646,3650,2023-12-14,752.46
647,319,2024-02-11,988.87
648,394,2024-07-20,108.32
649,675,2023-04-14,939.23
650,964,2023-08-06,710.49
651,196,2025-09-01,723.99
652,2070,2025-06-06,857.79
653,886,2024-05-08,621.94
654,1616,2023-11-15,172.55
655,648,2025-01-24,364.06
656,805,2023-07-23,356.81
657,3224,2023-02-14,773.76
658,2302,2024-07-09,914.77
659,1780,2024-05-04,134.01
660,4126,2024-02-23,400.03
661,2084,2024-06-05,549.94
662,2953,2023-05-08,580.94
663,2471,2024-05-19,229.45
664,2085,2025-08-12,509.41
665,672,2022-12-12,363.17
666,2582,2025-07-25,413.58
667,318,2024-08-04,334.2
668,1840,2022-09-24,297.76
669,4251,2022-12-09,602.2
670,622,2024-03-22,668.17
671,1067,2023-12-27,126.89
672,51,2025-03-27,338.4
673,3651,2022-12-08,998.42
674,1890,2023-05-23,376.0
675,4411,2023-01-16,948.16
676,2248,2024-10-02,354.28
677,929,2023-08-07,300.78
678,1402,2025-04-19,770.55
679,777,2025-03-17,890.13
680,4080,2024-05-02,329.35
681,2617,2024-02-09,796.59
682,3168,2023-04-04,77.82
683,1875,2023-02-05,597.83
684,1069,2025-01-30,291.79
685,2978,2025-07-01,206.16
686,2423,2024-09-24,206.17
687,2671,2024-01-11,615.36
688,418,2024-02-29,355.99
689,2816,2024-06-01,227.83
690,1718,2025-03-19,723.05
691,501,2023-08-13,318.03
692,3765,2024-01-09,989.32
693,1778,2024-02-23,492.32
694,795,2024-11-17,772.14
695,2612,2023-07-30,284.43
696,2620,2025-04-14,193.38
697,2594,2025-02-14,587.79
698,4089,2024-04-27,244.96
699,580,2022-12-07,823.18
700,2503,2023-10-06,979.16
701,2460,2025-06-20,744.94
702,846,2025-04-02,588.91
703,4539,2024-07-31,400.98
704,135,2024-01-06,217.46
705,1808,2024-03-20,115.34
706,2877,2025-03-10,864.29
707,4916,2024-12-23,871.1
708,4512,2023-08-21,35.7
709,4871,2024-01-27,316.28
710,4489,2024-09-25,762.78
711,3531,2023-09-13,209.01
712,3707,2024-10-11,499.72
713,388,2022-12-29,695.26
714,2134,2022-12-21,56.61
715,2385,2024-05-07,353.12
716,3466,2025-06-05,315.59
717,2846,2023-07-20,550.23
718,991,2025-07-24,519.65
719,2173,2023-05-04,946.06
720,3656,2025-09-09,238.99
721,627,2024-12-05,369.9
722,2643,2024-09-16,597.05
723,274,2025-08-11,918.68
724,2096,2024-06-30,618.04
725,3803,2023-02-20,824.84
726,3850,2024-11-01,200.72
727,3183,2024-02-28,952.14
728,4409,2022-12-14,37.48
729,4910,2023-05-26,624.14
730,4848,2024-04-03,741.23
731,441,2024-06-15,422.16
732,155,2023-12-09,200.98
733,3468,2023-04-14,724.1
734,4815,2023-04-22,350.22
735,830,2024-04-12,827.34
736,1394,2025-07-31,889.73
737,808,2023-10-31,685.33
738,219,2023-12-20,6.4
739,3902,2024-01-12,754.82
740,31,2022-12-28,637.07
741,1627,2025-02-06,226.56
742,1399,2024-12-27,588.34
743,3,2024-06-06,79.11
744,2049,2023-08-14,566.45
745,108,2022-09-27,527.77
746,3434,2022-09-19,992.94
747,3085,2023-06-12,562.86
748,1628,2023-02-24,56.24
749,4958,2024-01-29,404.13
750,2161,2024-01-30,222.84
751,4354,2023-01-28,316.04
752,3950,2023-11-20,976.12
753,4960,2024-06-16,971.17
754,332,2024-03-28,402.51
755,3544,2024-06-27,260.67
756,934,2023-10-11,777.84
757,3836,2024-12-29,676.51
758,788,2022-12-21,953.7
759,608,2024-01-18,495.13
760,1066,2024-05-25,294.86
761,3667,2023-10-27,864.05
762,2921,2024-02-10,165.31
763,2192,2024-10-10,652.63
764,1253,2024-04-28,334.61
765,1926,2024-03-15,860.97
766,3556,2023-01-08,459.24
767,4605,2025-04-25,782.32
768,2939,2025-05-07,309.36
769,1131,2024-07-24,421.08
770,2079,2023-01-02,422.2
771,1467,2024-07-09,405.84
772,4440,2023-03-18,975.41
773,4437,2022-12-13,537.42
774,1055,2024-12-31,308.03
775,4170,2025-05-26,597.69
776,103,2025-01-20,639.06
777,3373,2024-12-08,320.14
778,269,2023-02-25,232.7
779,4673,2023-10-21,248.4
780,2859,2025-05-08,579.4
781,3485,2024-06-14,957.9
782,1953,2024-08-13,258.48
783,554,2024-12-18,268.06
784,3925,2023-02-03,759.87
785,528,2024-06-05,114.7
786,4700,2024-07-22,767.16
787,2259,2024-06-14,647.24
788,2625,2022-10-30,353.72
789,4023,2022-09-30,514.04
790,892,2023-07-07,754.23
791,1245,2024-03-27,629.95
792,1849,2022-11-08,75.45
793,4663,2023-01-15,326.7
794,3458,2023-02-11,468.08
795,1080,2025-03-09,556.47
796,220,2025-09-11,719.73
797,1584,2025-04-30,763.93
798,3412,2023-01-24,468.93
799,1011,2023-02-17,795.51
800,2879,2024-02-26,676.34
801,3701,2025-03-13,847.65
802,4776,2025-07-02,363.12
803,3322,2023-06-12,711.34
804,4387,2024-11-22,583.53
805,4871,2024-03-28,798.13
806,1248,2023-02-14,126.78
807,2342,2024-09-11,664.43
808,4886,2024-03-25,429.1
809,4408,2024-08-31,791.9
810,2569,2024-01-01,593.22
811,3828,2022-12-29,660.45
812,368,2023-04-24,13.92
813,946,2025-06-24,700.48
814,4669,2022-12-25,117.68
815,2805,2023-04-04,166.8
816,553,2025-04-28,509.73
817,3690,2025-01-05,79.9
818,3708,2024-06-10,431.25
819,4932,2023-07-29,607.78
820,4728,2024-04-22,212.22
821,3250,2024-03-05,864.43
822,3158,2023-10-22,306.31
823,3421,2023-08-01,754.98
824,3978,2025-02-08,10.13
825,2388,2024-01-10,554.84
826,1551,2022-10-10,963.25
827,2105,2025-05-17,72.65
828,4872,2025-07-03,419.06
829,96,2023-11-20,528.26
830,2281,2024-06-26,344.03
831,147,2025-04-02,359.18
832,2526,2025-06-25,944.46
833,3970,2024-10-24,275.01
834,2586,2023-12-27,997.05
835,2031,2025-07-30,391.65
836,4256,2024-10-20,919.69
837,63,2022-10-21,96.83
838,4567,2025-02-09,218.99
839,3191,2023-06-13,116.27
840,3166,2023-05-29,821.61
841,1111,2022-09-17,166.69
842,3634,2023-10-25,735.07
843,4730,2023-09-09,654.38
844,2730,2023-07-03,810.01
845,316,2024-06-07,630.95
846,11,2023-05-23,831.34
847,2281,2022-09-21,652.24
848,2619,2023-04-26,722.36
849,4375,2025-06-02,181.28
850,4824,2024-05-02,839.81
851,3448,2025-01-16,287.03
852,796,2024-07-04,725.39
853,1996,2023-04-07,813.23
854,767,2025-05-23,831.16
855,1854,2024-07-07,215.72
856,2934,2023-10-25,22.03
857,3128,2023-04-30,803.25
858,4372,2025-07-11,264.2
859,2040,2024-11-20,908.79
860,1087,2022-12-01,599.13
861,2392,2023-12-03,591.19
862,913,2025-07-13,978.8
863,3586,2023-09-16,289.32
864,2136,2025-03-17,385.67
865,1846,2024-11-25,117.14
866,115,2023-05-03,37.02
867,1468,2022-10-23,437.18
868,4144,2023-07-01,579.2
869,4912,2023-09-21,719.36
870,2888,2023-06-22,814.54
871,1473,2024-05-07,346.82
872,844,2023-06-30,768.22
873,3280,2023-08-06,860.54
874,996,2025-09-01,893.52
875,3491,2025-06-19,532.96
876,1429,2024-11-13,832.68
877,1703,2025-03-29,44.01
878,919,2023-01-22,882.21
879,2639,2025-09-01,489.5
880,2248,2022-12-31,491.87
881,1587,2023-05-29,776.91
882,3176,2024-05-18,966.76
883,3076,2024-05-15,451.45
884,3474,2023-04-28,782.13
